Year,Title,Domestic,International,Worldwide,ImdbID,URL
1977,Star Wars: Episode IV - A New Hope,"$307,263,857",$0,"$307,263,857",tt0076759,https://www.boxofficemojo.com/release/rl2759034369/?ref_=bo_yld_table_1
1977,Close Encounters of the Third Kind,"$116,395,460",$781,"$116,396,241",tt0075860,https://www.boxofficemojo.com/release/rl340428289/?ref_=bo_yld_table_9
1977,Saturday Night Fever,"$94,213,184","$1,152","$94,214,336",tt0076666,https://www.boxofficemojo.com/release/rl2926544385/?ref_=bo_yld_table_8
1977,The Deep,"$47,346,365",$0,"$47,346,365",tt0075925,https://www.boxofficemojo.com/release/rl3561784833/?ref_=bo_yld_table_2
1977,The Spy Who Loved Me,"$46,838,673",$622,"$46,839,295",tt0076752,https://www.boxofficemojo.com/release/rl2004059649/?ref_=bo_yld_table_3
1977,"Oh, God!","$41,687,243",$0,"$41,687,243",tt0076489,https://www.boxofficemojo.com/release/rl2137425409/?ref_=bo_yld_table_4
1977,Exorcist II: The Heretic,"$30,749,142",$0,"$30,749,142",tt0076009,https://www.boxofficemojo.com/release/rl1582335489/?ref_=bo_yld_table_5
1977,The Turning Point,"$25,933,445",$0,"$25,933,445",tt0076843,https://www.boxofficemojo.com/release/rl611747329/?ref_=bo_yld_table_6
1977,Looking for Mr. Goodbar,"$22,512,655",$838,"$22,513,493",tt0076327,https://www.boxofficemojo.com/release/rl3093399041/?ref_=bo_yld_table_7
1978,Star Wars: Episode IV - A New Hope,"$307,263,857",$0,"$307,263,857",tt0076759,https://www.boxofficemojo.com/release/rl2759034369/?ref_=bo_yld_table_8
1978,Grease,"$159,978,870","$15,601","$159,994,471",tt0077631,https://www.boxofficemojo.com/release/rl2052556289/?ref_=bo_yld_table_1
1978,Superman,"$134,218,018","$2,461","$134,220,479",tt0078346,https://www.boxofficemojo.com/release/rl4050814465/?ref_=bo_yld_table_9
1978,National Lampoon's Animal House,"$120,091,123","$7,219","$120,098,342",tt0077975,https://www.boxofficemojo.com/release/rl994215425/?ref_=bo_yld_table_2
1978,Close Encounters of the Third Kind,"$116,395,460",$781,"$116,396,241",tt0075860,https://www.boxofficemojo.com/release/rl340428289/?ref_=bo_yld_table_3
1978,Saturday Night Fever,"$94,213,184","$1,152","$94,214,336",tt0076666,https://www.boxofficemojo.com/release/rl2926544385/?ref_=bo_yld_table_7
1978,Every Which Way But Loose,"$85,196,485",$0,"$85,196,485",tt0077523,https://www.boxofficemojo.com/release/rl105940481/?ref_=bo_yld_table_4
1978,Heaven Can Wait,"$81,640,278",$0,"$81,640,278",tt0077663,https://www.boxofficemojo.com/release/rl3629549057/?ref_=bo_yld_table_5
1978,Jaws 2,"$77,737,272",$0,"$77,737,272",tt0077766,https://www.boxofficemojo.com/release/rl3562702337/?ref_=bo_yld_table_6
1978,The Lord of the Rings,"$30,471,420","$3,437","$30,474,857",tt0077869,https://www.boxofficemojo.com/release/rl4066477569/?ref_=bo_yld_table_10
1978,Damien: Omen II,"$26,518,355",$0,"$26,518,355",tt0077394,https://www.boxofficemojo.com/release/rl1583777281/?ref_=bo_yld_table_11
1978,Invasion of the Body Snatchers,"$24,946,533","$1,229","$24,947,762",tt0077745,https://www.boxofficemojo.com/release/rl106595841/?ref_=bo_yld_table_12
1978,Brass Target,"$5,011,158",$0,"$5,011,158",tt0077272,https://www.boxofficemojo.com/release/rl3544614401/?ref_=bo_yld_table_13
1979,Star Wars: Episode IV - A New Hope,"$307,263,857",$0,"$307,263,857",tt0076759,https://www.boxofficemojo.com/release/rl2759034369/?ref_=bo_yld_table_32
1979,Superman,"$134,218,018","$2,461","$134,220,479",tt0078346,https://www.boxofficemojo.com/release/rl4050814465/?ref_=bo_yld_table_1
1979,Kramer vs. Kramer,"$106,260,000",$0,"$106,260,000",tt0079417,https://www.boxofficemojo.com/release/rl3999041025/?ref_=bo_yld_table_27
1979,The Amityville Horror,"$86,432,000",$0,"$86,432,000",tt0078767,https://www.boxofficemojo.com/release/rl2202240513/?ref_=bo_yld_table_2
1979,Rocky II,"$85,182,160",$0,"$85,182,160",tt0079817,https://www.boxofficemojo.com/release/rl2993456641/?ref_=bo_yld_table_3
