Title,Domestic,International,Worldwide,ImdbID,URL
Batman Returns,"$162,831,698","$104,000,000","$266,831,698",tt0103776,https://www.boxofficemojo.com/release/rl3544548865/?ref_=bo_yld_table_1
Lethal Weapon 3,"$144,731,527","$33,243,086","$177,974,613",tt0104714,https://www.boxofficemojo.com/release/rl1616807425/?ref_=bo_yld_table_2
Sister Act,"$139,605,150","$2,369","$139,607,519",tt0105417,https://www.boxofficemojo.com/release/rl2456913409/?ref_=bo_yld_table_3
Home Alone 2: Lost in New York,"$173,585,516","$11,000","$173,596,516",tt0104431,https://www.boxofficemojo.com/release/rl3881403905/?ref_=bo_yld_table_4
Wayne's World,"$121,697,323","$7,057","$121,704,380",tt0105793,https://www.boxofficemojo.com/release/rl3245966849/?ref_=bo_yld_table_5
Basic Instinct,"$117,727,224","$1,239","$117,728,463",tt0103772,https://www.boxofficemojo.com/release/rl3997533697/?ref_=bo_yld_table_6
A League of Their Own,"$107,533,928","$1,495","$107,535,423",tt0104694,https://www.boxofficemojo.com/release/rl3529475585/?ref_=bo_yld_table_7
Aladdin,"$217,350,219","$129,126,076","$346,476,295",tt0103639,https://www.boxofficemojo.com/release/rl4148200961/?ref_=bo_yld_table_8
The Hand That Rocks the Cradle,"$88,036,683",$35,"$88,036,718",tt0104389,https://www.boxofficemojo.com/release/rl777422337/?ref_=bo_yld_table_9
Under Siege,"$83,563,139",$0,"$83,563,139",tt0105690,https://www.boxofficemojo.com/release/rl4185294337/?ref_=bo_yld_table_10
Patriot Games,"$83,351,587","$18,511,191","$101,862,778",tt0105112,https://www.boxofficemojo.com/release/rl3479799297/?ref_=bo_yld_table_11
Dracula,"$82,522,790","$6,023","$82,528,813",tt0103874,https://www.boxofficemojo.com/release/rl1582204417/?ref_=bo_yld_table_12
The Bodyguard,"$121,945,720",$0,"$121,945,720",tt0103855,https://www.boxofficemojo.com/release/rl1967556097/?ref_=bo_yld_table_13
White Men Can't Jump,"$76,253,806",$0,"$76,253,806",tt0105812,https://www.boxofficemojo.com/release/rl477857281/?ref_=bo_yld_table_14
Fried Green Tomatoes,"$82,418,501",$0,"$82,418,501",tt0101921,https://www.boxofficemojo.com/release/rl1045792257/?ref_=bo_yld_table_15
The Last of the Mohicans,"$75,505,856",$674,"$75,506,530",tt0104691,https://www.boxofficemojo.com/release/rl2875164161/?ref_=bo_yld_table_16
Unforgiven,"$101,157,447",$0,"$101,157,447",tt0105695,https://www.boxofficemojo.com/release/rl4118185473/?ref_=bo_yld_table_17
Beauty and the Beast,"$145,863,363","$102,939,158","$248,802,521",tt0101414,https://www.boxofficemojo.com/release/rl4490753/?ref_=bo_yld_table_18
Boomerang,"$70,052,444","$13,640,706","$83,693,150",tt0103859,https://www.boxofficemojo.com/release/rl3141961217/?ref_=bo_yld_table_19
A Few Good Men,"$141,340,178","$13,870","$141,354,048",tt0104257,https://www.boxofficemojo.com/release/rl1666418177/?ref_=bo_yld_table_20
Father of the Bride,"$89,325,780",$0,"$89,325,780",tt0101862,https://www.boxofficemojo.com/release/rl643008001/?ref_=bo_yld_table_21
Far and Away,"$58,883,840","$10,194,520","$69,078,360",tt0104231,https://www.boxofficemojo.com/release/rl3545269761/?ref_=bo_yld_table_22
The Prince of Tides,"$74,787,599",$0,"$74,787,599",tt0102713,https://www.boxofficemojo.com/release/rl3949692417/?ref_=bo_yld_table_23
Death Becomes Her,"$58,422,650","$1,342","$58,423,992",tt0104070,https://www.boxofficemojo.com/release/rl2219607553/?ref_=bo_yld_table_24
"Honey, I Blew Up the Kid","$58,662,452",$0,"$58,662,452",tt0104437,https://www.boxofficemojo.com/release/rl3913778689/?ref_=bo_yld_table_25
Unlawful Entry,"$57,138,719",$0,"$57,138,719",tt0105699,https://www.boxofficemojo.com/release/rl3698755073/?ref_=bo_yld_table_26
Alien³,"$55,473,545","$2,141","$55,475,686",tt0103644,https://www.boxofficemojo.com/release/rl3477112321/?ref_=bo_yld_table_27
Hook,"$119,654,823","$3,323","$119,658,146",tt0102057,https://www.boxofficemojo.com/release/rl911771137/?ref_=bo_yld_table_28
HouseSitter,"$58,500,635",$0,"$58,500,635",tt0104452,https://www.boxofficemojo.com/release/rl1347978753/?ref_=bo_yld_table_29
Beethoven,"$57,114,049",$0,"$57,114,049",tt0103786,https://www.boxofficemojo.com/release/rl1833207297/?ref_=bo_yld_table_30
My Cousin Vinny,"$52,929,168",$0,"$52,929,168",tt0104952,https://www.boxofficemojo.com/release/rl72189441/?ref_=bo_yld_table_31
Sneakers,"$51,432,691",$0,"$51,432,691",tt0105435,https://www.boxofficemojo.com/release/rl158369281/?ref_=bo_yld_table_32
The Mighty Ducks,"$50,752,337","$1,878","$50,754,215",tt0104868,https://www.boxofficemojo.com/release/rl3863840257/?ref_=bo_yld_table_33
JFK,"$70,405,498",$0,"$70,405,498",tt0102138,https://www.boxofficemojo.com/release/rl509445633/?ref_=bo_yld_table_34
Single White Female,"$48,017,402",$0,"$48,017,402",tt0105414,https://www.boxofficemojo.com/release/rl544572929/?ref_=bo_yld_table_35
Medicine Man,"$45,500,797","$8,494,271","$53,995,068",tt0104839,https://www.boxofficemojo.com/release/rl996312577/?ref_=bo_yld_table_36
Passenger 57,"$44,065,653",$0,"$44,065,653",tt0105104,https://www.boxofficemojo.com/release/rl3949561345/?ref_=bo_yld_table_37
Malcolm X,"$48,169,910",$0,"$48,169,910",tt0104797,https://www.boxofficemojo.com/release/rl4150298113/?ref_=bo_yld_table_38
Encino Man,"$40,693,477",$0,"$40,693,477",tt0104187,https://www.boxofficemojo.com/release/rl2303821313/?ref_=bo_yld_table_39
Mo' Money,"$40,227,006",$0,"$40,227,006",tt0104897,https://www.boxofficemojo.com/release/rl627410433/?ref_=bo_yld_table_40
Universal Soldier,"$36,299,898",$0,"$36,299,898",tt0105698,https://www.boxofficemojo.com/release/rl3816195585/?ref_=bo_yld_table_41
Honeymoon in Vegas,"$35,208,854","$7,318,157","$42,527,011",tt0104438,https://www.boxofficemojo.com/release/rl827885057/?ref_=bo_yld_table_42
The Distinguished Gentleman,"$46,666,502",$0,"$46,666,502",tt0104114,https://www.boxofficemojo.com/release/rl4132406785/?ref_=bo_yld_table_43
Grand Canyon,"$33,243,020",$0,"$33,243,020",tt0101969,https://www.boxofficemojo.com/release/rl492275201/?ref_=bo_yld_table_44
Bugsy,"$49,114,016",$0,"$49,114,016",tt0101516,https://www.boxofficemojo.com/release/rl2454291969/?ref_=bo_yld_table_45
The Lawnmower Man,"$32,100,816","$7,751,971","$39,852,787",tt0104692,https://www.boxofficemojo.com/release/rl3781133825/?ref_=bo_yld_table_46
A River Runs Through It,"$43,440,294",$0,"$43,440,294",tt0105265,https://www.boxofficemojo.com/release/rl2137818625/?ref_=bo_yld_table_47
Sleepwalkers,"$30,524,763",$0,"$30,524,763",tt0105428,https://www.boxofficemojo.com/release/rl3396437505/?ref_=bo_yld_table_48
3 Ninjas,"$29,000,301",$0,"$29,000,301",tt0103596,https://www.boxofficemojo.com/release/rl2285995521/?ref_=bo_yld_table_49
Final Analysis,"$28,590,665",$0,"$28,590,665",tt0104265,https://www.boxofficemojo.com/release/rl3159590401/?ref_=bo_yld_table_50
Stop! Or My Mom Will Shoot,"$28,411,210",$0,"$28,411,210",tt0105477,https://www.boxofficemojo.com/release/rl644187649/?ref_=bo_yld_table_51
The Last Boy Scout,"$59,509,925",$0,"$59,509,925",tt0102266,https://www.boxofficemojo.com/release/rl1600095745/?ref_=bo_yld_table_52
Forever Young,"$55,956,187",$0,"$55,956,187",tt0104291,https://www.boxofficemojo.com/release/rl1397917185/?ref_=bo_yld_table_53
Candyman,"$25,792,310",$0,"$25,792,310",tt0103919,https://www.boxofficemojo.com/release/rl4081616385/?ref_=bo_yld_table_54
The Cutting Edge,"$25,105,517",$0,"$25,105,517",tt0104040,https://www.boxofficemojo.com/release/rl3947726337/?ref_=bo_yld_table_55
FernGully: The Last Rainforest,"$24,650,296",$0,"$24,650,296",tt0104254,https://www.boxofficemojo.com/release/rl2001962497/?ref_=bo_yld_table_56
Thunderheart,"$22,660,758",$0,"$22,660,758",tt0105585,https://www.boxofficemojo.com/release/rl2608104961/?ref_=bo_yld_table_57
Star Trek VI: The Undiscovered Country,"$74,888,996",$0,"$74,888,996",tt0102975,https://www.boxofficemojo.com/release/rl3061024257/?ref_=bo_yld_table_58
Captain Ron,"$22,518,097",$0,"$22,518,097",tt0103924,https://www.boxofficemojo.com/release/rl1833469441/?ref_=bo_yld_table_59
Shining Through,"$21,633,781",$0,"$21,633,781",tt0105391,https://www.boxofficemojo.com/release/rl946963969/?ref_=bo_yld_table_60
The Muppet Christmas Carol,"$27,281,507","$1,910,927","$29,192,434",tt0104940,https://www.boxofficemojo.com/release/rl3395651073/?ref_=bo_yld_table_61
Consenting Adults,"$21,591,728",$0,"$21,591,728",tt0104006,https://www.boxofficemojo.com/release/rl3695871489/?ref_=bo_yld_table_62
Raising Cain,"$21,370,057",$0,"$21,370,057",tt0105217,https://www.boxofficemojo.com/release/rl3848963585/?ref_=bo_yld_table_63
Straight Talk,"$21,202,099",$0,"$21,202,099",tt0105481,https://www.boxofficemojo.com/release/rl1534232065/?ref_=bo_yld_table_64
