Title,Domestic,Worldwide,URL
A Minecraft Movie,,,https://www.boxofficemojo.com/release/rl746096129/?ref_=bo_yld_table_1
Lilo & Stitch,,,https://www.boxofficemojo.com/release/rl3104735233/?ref_=bo_yld_table_2
Superman,,,https://www.boxofficemojo.com/release/rl1543340801/?ref_=bo_yld_table_3
Jurassic World: Rebirth,,,https://www.boxofficemojo.com/release/rl3058794497/?ref_=bo_yld_table_4
Sinners,,,https://www.boxofficemojo.com/release/rl2153611265/?ref_=bo_yld_table_5
How to Train Your Dragon,,,https://www.boxofficemojo.com/release/rl1921090305/?ref_=bo_yld_table_6
The Fantastic Four: First Steps,,,https://www.boxofficemojo.com/release/rl2429649665/?ref_=bo_yld_table_7
Captain America: Brave New World,,,https://www.boxofficemojo.com/release/rl2597421825/?ref_=bo_yld_table_8
Mission: Impossible - The Final Reckoning,,,https://www.boxofficemojo.com/release/rl1913226753/?ref_=bo_yld_table_9
Thunderbolts*,,,https://www.boxofficemojo.com/release/rl2647753473/?ref_=bo_yld_table_10
F1: The Movie,,,https://www.boxofficemojo.com/release/rl2507374593/?ref_=bo_yld_table_11
Final Destination: Bloodlines,,,https://www.boxofficemojo.com/release/rl1478393857/?ref_=bo_yld_table_12
Mufasa: The Lion King,,,https://www.boxofficemojo.com/release/rl1511097089/?ref_=bo_yld_table_13
Dog Man,,,https://www.boxofficemojo.com/release/rl3942942209/?ref_=bo_yld_table_14
Snow White,,,https://www.boxofficemojo.com/release/rl3856302849/?ref_=bo_yld_table_15
Sonic the Hedgehog 3,,,https://www.boxofficemojo.com/release/rl886211329/?ref_=bo_yld_table_16
Elio,,,https://www.boxofficemojo.com/release/rl1561428737/?ref_=bo_yld_table_17
28 Years Later,,,https://www.boxofficemojo.com/release/rl375947265/?ref_=bo_yld_table_18
The Accountant 2,,,https://www.boxofficemojo.com/release/rl1178501121/?ref_=bo_yld_table_19
The King of Kings,,,https://www.boxofficemojo.com/release/rl4231757825/?ref_=bo_yld_table_20
Ballerina,,,https://www.boxofficemojo.com/release/rl965378817/?ref_=bo_yld_table_21
Moana 2,,,https://www.boxofficemojo.com/release/rl862748673/?ref_=bo_yld_table_22
Karate Kid: Legends,,,https://www.boxofficemojo.com/release/rl3470426881/?ref_=bo_yld_table_23
One of Them Days,,,https://www.boxofficemojo.com/release/rl4110974977/?ref_=bo_yld_table_24
Nosferatu,,,https://www.boxofficemojo.com/release/rl2537783297/?ref_=bo_yld_table_25
A Complete Unknown,,,https://www.boxofficemojo.com/release/rl2843508737/?ref_=bo_yld_table_26
Mickey 17,,,https://www.boxofficemojo.com/release/rl2465301249/?ref_=bo_yld_table_27
Paddington in Peru,,,https://www.boxofficemojo.com/release/rl431260417/?ref_=bo_yld_table_28
The Amateur,,,https://www.boxofficemojo.com/release/rl2241364737/?ref_=bo_yld_table_29
Wicked,,,https://www.boxofficemojo.com/release/rl1199474177/?ref_=bo_yld_table_30
The Monkey,,,https://www.boxofficemojo.com/release/rl2385608705/?ref_=bo_yld_table_31
A Working Man,,,https://www.boxofficemojo.com/release/rl3457581057/?ref_=bo_yld_table_32
Materialists,,,https://www.boxofficemojo.com/release/rl3442638849/?ref_=bo_yld_table_33
Den of Thieves: Pantera,,,https://www.boxofficemojo.com/release/rl1416265729/?ref_=bo_yld_table_34
Star Wars: Episode III - Revenge of the Sith,,,https://www.boxofficemojo.com/release/rl2905833473/?ref_=bo_yld_table_35
The Bad Guys 2,,,https://www.boxofficemojo.com/release/rl1472103169/?ref_=bo_yld_table_36
Heart Eyes,,,https://www.boxofficemojo.com/release/rl2533982209/?ref_=bo_yld_table_37
Flight Risk,,,https://www.boxofficemojo.com/release/rl1365934081/?ref_=bo_yld_table_38
Smurfs,,,https://www.boxofficemojo.com/release/rl3459023617/?ref_=bo_yld_table_39
I Know What You Did Last Summer,,,https://www.boxofficemojo.com/release/rl2372632577/?ref_=bo_yld_table_40
Warfare,,,https://www.boxofficemojo.com/release/rl1613266945/?ref_=bo_yld_table_41
M3GAN 2.0,,,https://www.boxofficemojo.com/release/rl1392018177/?ref_=bo_yld_table_42
The Naked Gun,,,https://www.boxofficemojo.com/release/rl3528753153/?ref_=bo_yld_table_43
The Woman in the Yard,,,https://www.boxofficemojo.com/release/rl4048781313/?ref_=bo_yld_table_44
Black Bag,,,https://www.boxofficemojo.com/release/rl1400602625/?ref_=bo_yld_table_45
Death of a Unicorn,,,https://www.boxofficemojo.com/release/rl1646755841/?ref_=bo_yld_table_46
Last Breath,,,https://www.boxofficemojo.com/release/rl4101275649/?ref_=bo_yld_table_47
Ne Zha II,,,https://www.boxofficemojo.com/release/rl1613856769/?ref_=bo_yld_table_48
Companion,,,https://www.boxofficemojo.com/release/rl3781722113/?ref_=bo_yld_table_49
Wolf Man,,,https://www.boxofficemojo.com/release/rl3494150145/?ref_=bo_yld_table_50
The Chosen: Last Supper,,,https://www.boxofficemojo.com/release/rl2486599681/?ref_=bo_yld_table_51
Until Dawn,,,https://www.boxofficemojo.com/release/rl923893761/?ref_=bo_yld_table_52
Novocaine,,,https://www.boxofficemojo.com/release/rl3662970881/?ref_=bo_yld_table_53
The Phoenician Scheme,,,https://www.boxofficemojo.com/release/rl2620358657/?ref_=bo_yld_table_54
